model,mhc_class,condition,target,sample,ranking_score,is_best_ranked,iptm,ptm,n_chains,ptm_mhc,ptm_pep,ptm_mhcb,ptm_tcra,ptm_tcrb,cp_mhc_pep,cp_mhca_mhcb,cp_mhcb_pep,cp_mhc_tcra,cp_mhc_tcrb,cp_pep_tcra,cp_pep_tcrb,cp_mhcb_tcra,cp_mhcb_tcrb,cp_tcra_tcrb,mean_tcr_pmhc_iptm,chain_pair_iptm
af3,classI,with_msa_no_template,7phr_pmhc_tcr,3,0.9339039011315408,False,0.92,0.93,4,0.91,0.03,,0.88,0.89,0.95,,,0.9,0.89,0.85,0.88,,,0.9,0.88,"[[0.91, 0.95, 0.9, 0.89], [0.95, 0.03, 0.85, 0.88], [0.9, 0.85, 0.88, 0.9], [0.89, 0.88, 0.9, 0.89]]"
af3,classI,with_msa_no_template,7q99_pmhc_tcr,1,0.8963532962781178,True,0.88,0.9,4,0.92,0.03,,0.88,0.88,0.95,,,0.88,0.77,0.85,0.7,,,0.84,0.8,"[[0.92, 0.95, 0.88, 0.77], [0.95, 0.03, 0.85, 0.7], [0.88, 0.85, 0.88, 0.84], [0.77, 0.7, 0.84, 0.88]]"
af3,classI,with_msa_no_template,7q99_pmhc_tcr,0,0.8914551908125865,False,0.87,0.9,4,0.92,0.03,,0.88,0.87,0.95,,,0.87,0.76,0.85,0.68,,,0.83,0.79,"[[0.92, 0.95, 0.87, 0.76], [0.95, 0.03, 0.85, 0.68], [0.87, 0.85, 0.88, 0.83], [0.76, 0.68, 0.83, 0.87]]"
af3,classI,with_msa_no_template,7q99_pmhc_tcr,2,0.8824233300678264,False,0.87,0.89,4,0.91,0.03,,0.88,0.88,0.94,,,0.86,0.74,0.84,0.69,,,0.84,0.7825,"[[0.91, 0.94, 0.86, 0.74], [0.94, 0.03, 0.84, 0.69], [0.86, 0.84, 0.88, 0.84], [0.74, 0.69, 0.84, 0.88]]"
af3,classI,with_msa_no_template,7q99_pmhc_tcr,3,0.8639939094185075,False,0.85,0.87,4,0.92,0.03,,0.88,0.87,0.94,,,0.81,0.71,0.81,0.67,,,0.84,0.75,"[[0.92, 0.94, 0.81, 0.71], [0.94, 0.03, 0.81, 0.67], [0.81, 0.81, 0.88, 0.84], [0.71, 0.67, 0.84, 0.87]]"
af3,classI,with_msa_no_template,7q99_pmhc_tcr,4,0.8589166088698872,False,0.84,0.87,4,0.91,0.03,,0.88,0.87,0.94,,,0.81,0.69,0.82,0.63,,,0.83,0.7374999999999999,"[[0.91, 0.94, 0.81, 0.69], [0.94, 0.03, 0.82, 0.63], [0.81, 0.82, 0.88, 0.83], [0.69, 0.63, 0.83, 0.87]]"
af3,classI,with_msa_no_template,7q9a_pmhc_tcr,2,0.8752128824206684,True,0.86,0.88,4,0.91,0.03,,0.88,0.88,0.94,,,0.81,0.74,0.81,0.72,,,0.83,0.77,"[[0.91, 0.94, 0.81, 0.74], [0.94, 0.03, 0.81, 0.72], [0.81, 0.81, 0.88, 0.83], [0.74, 0.72, 0.83, 0.88]]"
af3,classI,with_msa_no_template,7q9a_pmhc_tcr,0,0.8735941169030258,False,0.86,0.87,4,0.91,0.03,,0.87,0.87,0.93,,,0.82,0.73,0.81,0.73,,,0.83,0.7725,"[[0.91, 0.93, 0.82, 0.73], [0.93, 0.03, 0.81, 0.73], [0.82, 0.81, 0.87, 0.83], [0.73, 0.73, 0.83, 0.87]]"
af3,classI,with_msa_no_template,7q9a_pmhc_tcr,1,0.8602799746211339,False,0.84,0.86,4,0.91,0.03,,0.87,0.88,0.94,,,0.78,0.72,0.79,0.73,,,0.83,0.755,"[[0.91, 0.94, 0.78, 0.72], [0.94, 0.03, 0.79, 0.73], [0.78, 0.79, 0.87, 0.83], [0.72, 0.73, 0.83, 0.88]]"
af3,classI,with_msa_no_template,7q9a_pmhc_tcr,4,0.8542946064037399,False,0.84,0.86,4,0.91,0.03,,0.88,0.88,0.93,,,0.77,0.7,0.78,0.71,,,0.83,0.74,"[[0.91, 0.93, 0.77, 0.7], [0.93, 0.03, 0.78, 0.71], [0.77, 0.78, 0.88, 0.83], [0.7, 0.71, 0.83, 0.88]]"
af3,classI,with_msa_no_template,7q9a_pmhc_tcr,3,0.8439023252197252,False,0.83,0.85,4,0.91,0.03,,0.87,0.88,0.93,,,0.76,0.7,0.76,0.71,,,0.83,0.7324999999999999,"[[0.91, 0.93, 0.76, 0.7], [0.93, 0.03, 0.76, 0.71], [0.76, 0.76, 0.87, 0.83], [0.7, 0.71, 0.83, 0.88]]"
af3,classI,with_msa_no_template,7q9b_pmhc_tcr,0,0.8707784124239537,True,0.85,0.88,4,0.92,0.03,,0.82,0.88,0.95,,,0.81,0.77,0.78,0.73,,,0.83,0.7725000000000001,"[[0.92, 0.95, 0.81, 0.77], [0.95, 0.03, 0.78, 0.73], [0.81, 0.78, 0.82, 0.83], [0.77, 0.73, 0.83, 0.88]]"
af3,classI,with_msa_no_template,7q9b_pmhc_tcr,3,0.8498432381207839,False,0.83,0.86,4,0.91,0.03,,0.81,0.87,0.94,,,0.79,0.73,0.77,0.71,,,0.82,0.75,"[[0.91, 0.94, 0.79, 0.73], [0.94, 0.03, 0.77, 0.71], [0.79, 0.77, 0.81, 0.82], [0.73, 0.71, 0.82, 0.87]]"
af3,classI,with_msa_no_template,7q9b_pmhc_tcr,1,0.849832716764843,False,0.83,0.86,4,0.91,0.03,,0.81,0.87,0.94,,,0.79,0.71,0.77,0.7,,,0.82,0.7424999999999999,"[[0.91, 0.94, 0.79, 0.71], [0.94, 0.03, 0.77, 0.7], [0.79, 0.77, 0.81, 0.82], [0.71, 0.7, 0.82, 0.87]]"
af3,classI,with_msa_no_template,7q9b_pmhc_tcr,2,0.8485588207045802,False,0.83,0.86,4,0.92,0.03,,0.8,0.87,0.94,,,0.78,0.72,0.77,0.7,,,0.81,0.7424999999999999,"[[0.92, 0.94, 0.78, 0.72], [0.94, 0.03, 0.77, 0.7], [0.78, 0.77, 0.8, 0.81], [0.72, 0.7, 0.81, 0.87]]"
af3,classI,with_msa_no_template,7q9b_pmhc_tcr,4,0.840336864860501,False,0.82,0.85,4,0.92,0.03,,0.8,0.87,0.94,,,0.76,0.71,0.75,0.69,,,0.81,0.7274999999999999,"[[0.92, 0.94, 0.76, 0.71], [0.94, 0.03, 0.75, 0.69], [0.76, 0.75, 0.8, 0.81], [0.71, 0.69, 0.81, 0.87]]"
af3,classI,with_msa_no_template,7qpj_pmhc_tcr,4,0.9331446803843726,True,0.92,0.93,4,0.92,0.04,,0.9,0.9,0.95,,,0.91,0.86,0.86,0.85,,,0.9,0.87,"[[0.92, 0.95, 0.91, 0.86], [0.95, 0.04, 0.86, 0.85], [0.91, 0.86, 0.9, 0.9], [0.86, 0.85, 0.9, 0.9]]"
af3,classI,with_msa_no_template,7qpj_pmhc_tcr,1,0.932828557770277,False,0.92,0.93,4,0.93,0.04,,0.9,0.9,0.95,,,0.91,0.86,0.86,0.85,,,0.9,0.87,"[[0.93, 0.95, 0.91, 0.86], [0.95, 0.04, 0.86, 0.85], [0.91, 0.86, 0.9, 0.9], [0.86, 0.85, 0.9, 0.9]]"
af3,classI,with_msa_no_template,7qpj_pmhc_tcr,0,0.9271151192768483,False,0.91,0.92,4,0.92,0.04,,0.9,0.9,0.95,,,0.9,0.84,0.86,0.84,,,0.89,0.86,"[[0.92, 0.95, 0.9, 0.84], [0.95, 0.04, 0.86, 0.84], [0.9, 0.86, 0.9, 0.89], [0.84, 0.84, 0.89, 0.9]]"
af3,classI,with_msa_no_template,7qpj_pmhc_tcr,2,0.9266774334156499,False,0.91,0.92,4,0.93,0.04,,0.9,0.9,0.95,,,0.89,0.84,0.85,0.84,,,0.9,0.855,"[[0.93, 0.95, 0.89, 0.84], [0.95, 0.04, 0.85, 0.84], [0.89, 0.85, 0.9, 0.9], [0.84, 0.84, 0.9, 0.9]]"
af3,classI,with_msa_no_template,7qpj_pmhc_tcr,3,0.9230783172548059,False,0.91,0.92,4,0.92,0.03,,0.89,0.89,0.94,,,0.89,0.84,0.84,0.83,,,0.89,0.85,"[[0.92, 0.94, 0.89, 0.84], [0.94, 0.03, 0.84, 0.83], [0.89, 0.84, 0.89, 0.89], [0.84, 0.83, 0.89, 0.89]]"
af3,classI,with_msa_no_template,7r80_pmhc_tcr,4,0.5802710849511334,True,0.55,0.63,4,0.92,0.02,,0.88,0.9,0.88,,,0.25,0.3,0.22,0.25,,,0.87,0.255,"[[0.92, 0.88, 0.25, 0.3], [0.88, 0.02, 0.22, 0.25], [0.25, 0.22, 0.88, 0.87], [0.3, 0.25, 0.87, 0.9]]"
af3,classI,with_msa_no_template,7r80_pmhc_tcr,3,0.5800373747206493,False,0.55,0.63,4,0.92,0.02,,0.88,0.9,0.88,,,0.25,0.29,0.22,0.25,,,0.87,0.2525,"[[0.92, 0.88, 0.25, 0.29], [0.88, 0.02, 0.22, 0.25], [0.25, 0.22, 0.88, 0.87], [0.29, 0.25, 0.87, 0.9]]"
af3,classI,with_msa_no_template,7r80_pmhc_tcr,2,0.5761493764418447,False,0.55,0.63,4,0.92,0.02,,0.88,0.9,0.88,,,0.24,0.29,0.22,0.25,,,0.86,0.25,"[[0.92, 0.88, 0.24, 0.29], [0.88, 0.02, 0.22, 0.25], [0.24, 0.22, 0.88, 0.86], [0.29, 0.25, 0.86, 0.9]]"
af3,classI,with_msa_no_template,7r80_pmhc_tcr,0,0.5729838988638256,False,0.55,0.63,4,0.92,0.02,,0.87,0.89,0.86,,,0.25,0.25,0.21,0.22,,,0.86,0.23249999999999998,"[[0.92, 0.86, 0.25, 0.25], [0.86, 0.02, 0.21, 0.22], [0.25, 0.21, 0.87, 0.86], [0.25, 0.22, 0.86, 0.89]]"
af3,classI,with_msa_no_template,7r80_pmhc_tcr,1,0.5425279339799339,False,0.51,0.6,4,0.92,0.02,,0.87,0.9,0.87,,,0.19,0.19,0.16,0.17,,,0.86,0.17750000000000002,"[[0.92, 0.87, 0.19, 0.19], [0.87, 0.02, 0.16, 0.17], [0.19, 0.16, 0.87, 0.86], [0.19, 0.17, 0.86, 0.9]]"
af3,classI,with_msa_no_template,7rk7_pmhc_tcr,0,0.7030101972987505,True,0.68,0.75,4,0.92,0.03,,0.83,0.84,0.93,,,0.56,0.4,0.45,0.29,,,0.77,0.42500000000000004,"[[0.92, 0.93, 0.56, 0.4], [0.93, 0.03, 0.45, 0.29], [0.56, 0.45, 0.83, 0.77], [0.4, 0.29, 0.77, 0.84]]"
af3,classI,with_msa_no_template,7rk7_pmhc_tcr,1,0.6891132005251269,False,0.66,0.73,4,0.91,0.03,,0.82,0.84,0.93,,,0.52,0.4,0.42,0.29,,,0.76,0.40750000000000003,"[[0.91, 0.93, 0.52, 0.4], [0.93, 0.03, 0.42, 0.29], [0.52, 0.42, 0.82, 0.76], [0.4, 0.29, 0.76, 0.84]]"
af3,classI,with_msa_no_template,7rk7_pmhc_tcr,2,0.6578784272878475,False,0.63,0.7,4,0.91,0.03,,0.83,0.84,0.93,,,0.46,0.37,0.37,0.25,,,0.73,0.36250000000000004,"[[0.91, 0.93, 0.46, 0.37], [0.93, 0.03, 0.37, 0.25], [0.46, 0.37, 0.83, 0.73], [0.37, 0.25, 0.73, 0.84]]"
af3,classI,with_msa_no_template,7rk7_pmhc_tcr,4,0.6500284189028286,False,0.63,0.68,4,0.91,0.03,,0.82,0.84,0.93,,,0.45,0.36,0.35,0.25,,,0.7,0.35250000000000004,"[[0.91, 0.93, 0.45, 0.36], [0.93, 0.03, 0.35, 0.25], [0.45, 0.35, 0.82, 0.7], [0.36, 0.25, 0.7, 0.84]]"
af3,classI,with_msa_no_template,7rk7_pmhc_tcr,3,0.6003173649639171,False,0.58,0.63,4,0.91,0.03,,0.82,0.84,0.93,,,0.36,0.31,0.26,0.22,,,0.7,0.2875,"[[0.91, 0.93, 0.36, 0.31], [0.93, 0.03, 0.26, 0.22], [0.36, 0.26, 0.82, 0.7], [0.31, 0.22, 0.7, 0.84]]"
af3,classI,with_msa_no_template,7rm4_pmhc_tcr,0,0.7991665695424303,True,0.78,0.83,4,0.91,0.03,,0.89,0.87,0.92,,,0.68,0.63,0.56,0.48,,,0.88,0.5875,"[[0.91, 0.92, 0.68, 0.63], [0.92, 0.03, 0.56, 0.48], [0.68, 0.56, 0.89, 0.88], [0.63, 0.48, 0.88, 0.87]]"
af3,classI,with_msa_no_template,7rm4_pmhc_tcr,2,0.775271376364696,False,0.75,0.81,4,0.91,0.03,,0.89,0.87,0.92,,,0.65,0.62,0.53,0.48,,,0.88,0.5700000000000001,"[[0.91, 0.92, 0.65, 0.62], [0.92, 0.03, 0.53, 0.48], [0.65, 0.53, 0.89, 0.88], [0.62, 0.48, 0.88, 0.87]]"
af3,classI,with_msa_no_template,7rm4_pmhc_tcr,3,0.7089696695810099,False,0.68,0.76,4,0.91,0.03,,0.88,0.86,0.92,,,0.54,0.5,0.46,0.37,,,0.87,0.4675,"[[0.91, 0.92, 0.54, 0.5], [0.92, 0.03, 0.46, 0.37], [0.54, 0.46, 0.88, 0.87], [0.5, 0.37, 0.87, 0.86]]"
af3,classI,with_msa_no_template,7rm4_pmhc_tcr,1,0.6950833383096087,False,0.67,0.75,4,0.91,0.03,,0.88,0.86,0.92,,,0.49,0.46,0.39,0.34,,,0.87,0.42,"[[0.91, 0.92, 0.49, 0.46], [0.92, 0.03, 0.39, 0.34], [0.49, 0.39, 0.88, 0.87], [0.46, 0.34, 0.87, 0.86]]"
af3,classI,with_msa_no_template,7rm4_pmhc_tcr,4,0.6553368706721385,False,0.63,0.71,4,0.91,0.03,,0.88,0.85,0.92,,,0.44,0.41,0.38,0.3,,,0.86,0.3825,"[[0.91, 0.92, 0.44, 0.41], [0.92, 0.03, 0.38, 0.3], [0.44, 0.38, 0.88, 0.86], [0.41, 0.3, 0.86, 0.85]]"
af3,classI,with_msa_no_template,7rrg_pmhc_tcr,2,0.6065377024847667,True,0.58,0.67,4,0.91,0.03,,0.85,0.89,0.92,,,0.3,0.36,0.28,0.36,,,0.84,0.32499999999999996,"[[0.91, 0.92, 0.3, 0.36], [0.92, 0.03, 0.28, 0.36], [0.3, 0.28, 0.85, 0.84], [0.36, 0.36, 0.84, 0.89]]"
af3,classI,with_msa_no_template,7rrg_pmhc_tcr,1,0.5556187093436475,False,0.53,0.61,4,0.91,0.03,,0.85,0.89,0.91,,,0.22,0.21,0.2,0.23,,,0.85,0.215,"[[0.91, 0.91, 0.22, 0.21], [0.91, 0.03, 0.2, 0.23], [0.22, 0.2, 0.85, 0.85], [0.21, 0.23, 0.85, 0.89]]"
af3,classI,with_msa_no_template,7rrg_pmhc_tcr,0,0.5361329306128864,False,0.51,0.59,4,0.91,0.03,,0.84,0.89,0.91,,,0.19,0.18,0.17,0.17,,,0.84,0.17750000000000002,"[[0.91, 0.91, 0.19, 0.18], [0.91, 0.03, 0.17, 0.17], [0.19, 0.17, 0.84, 0.84], [0.18, 0.17, 0.84, 0.89]]"
af3,classI,with_msa_no_template,7rrg_pmhc_tcr,3,0.5244749354786221,False,0.49,0.59,4,0.91,0.03,,0.85,0.89,0.91,,,0.16,0.18,0.14,0.17,,,0.85,0.1625,"[[0.91, 0.91, 0.16, 0.18], [0.91, 0.03, 0.14, 0.17], [0.16, 0.14, 0.85, 0.85], [0.18, 0.17, 0.85, 0.89]]"
af3,classI,with_msa_no_template,7rrg_pmhc_tcr,4,0.5185120121081945,False,0.49,0.58,4,0.91,0.03,,0.84,0.89,0.91,,,0.14,0.15,0.13,0.14,,,0.82,0.14,"[[0.91, 0.91, 0.14, 0.15], [0.91, 0.03, 0.13, 0.14], [0.14, 0.13, 0.84, 0.82], [0.15, 0.14, 0.82, 0.89]]"
af3,classI,with_msa_no_template,7rtr_pmhc_tcr,1,0.7250987368848186,True,0.7,0.75,4,0.91,0.03,,0.88,0.89,0.92,,,0.51,0.57,0.49,0.49,,,0.87,0.515,"[[0.91, 0.92, 0.51, 0.57], [0.92, 0.03, 0.49, 0.49], [0.51, 0.49, 0.88, 0.87], [0.57, 0.49, 0.87, 0.89]]"
af3,classI,with_msa_no_template,7rtr_pmhc_tcr,2,0.7246650616041033,False,0.7,0.75,4,0.91,0.03,,0.88,0.89,0.92,,,0.51,0.58,0.49,0.5,,,0.88,0.52,"[[0.91, 0.92, 0.51, 0.58], [0.92, 0.03, 0.49, 0.5], [0.51, 0.49, 0.88, 0.88], [0.58, 0.5, 0.88, 0.89]]"
af3,classI,with_msa_no_template,7rtr_pmhc_tcr,0,0.7132126926763798,False,0.69,0.74,4,0.91,0.03,,0.88,0.89,0.92,,,0.47,0.56,0.47,0.49,,,0.87,0.4975,"[[0.91, 0.92, 0.47, 0.56], [0.92, 0.03, 0.47, 0.49], [0.47, 0.47, 0.88, 0.87], [0.56, 0.49, 0.87, 0.89]]"
af3,classI,with_msa_no_template,7rtr_pmhc_tcr,4,0.69699816372196,False,0.68,0.73,4,0.91,0.03,,0.88,0.89,0.92,,,0.45,0.52,0.45,0.44,,,0.87,0.46499999999999997,"[[0.91, 0.92, 0.45, 0.52], [0.92, 0.03, 0.45, 0.44], [0.45, 0.45, 0.88, 0.87], [0.52, 0.44, 0.87, 0.89]]"
af3,classI,with_msa_no_template,7rtr_pmhc_tcr,3,0.6632284299012475,False,0.64,0.71,4,0.91,0.03,,0.88,0.89,0.92,,,0.39,0.45,0.39,0.39,,,0.87,0.405,"[[0.91, 0.92, 0.39, 0.45], [0.92, 0.03, 0.39, 0.39], [0.39, 0.39, 0.88, 0.87], [0.45, 0.39, 0.87, 0.89]]"
af3,classI,with_msa_no_template,7su9_pmhc_tcr,1,0.7977610856658728,True,0.78,0.83,4,0.91,0.03,,0.84,0.87,0.92,,,0.62,0.72,0.55,0.65,,,0.83,0.635,"[[0.91, 0.92, 0.62, 0.72], [0.92, 0.03, 0.55, 0.65], [0.62, 0.55, 0.84, 0.83], [0.72, 0.65, 0.83, 0.87]]"
af3,classI,with_msa_no_template,7su9_pmhc_tcr,2,0.7881568521463138,False,0.77,0.82,4,0.91,0.03,,0.85,0.88,0.92,,,0.62,0.7,0.55,0.62,,,0.82,0.6224999999999999,"[[0.91, 0.92, 0.62, 0.7], [0.92, 0.03, 0.55, 0.62], [0.62, 0.55, 0.85, 0.82], [0.7, 0.62, 0.82, 0.88]]"
af3,classI,with_msa_no_template,7su9_pmhc_tcr,0,0.7868363986390746,False,0.77,0.82,4,0.91,0.03,,0.85,0.88,0.92,,,0.62,0.67,0.55,0.61,,,0.84,0.6125,"[[0.91, 0.92, 0.62, 0.67], [0.92, 0.03, 0.55, 0.61], [0.62, 0.55, 0.85, 0.84], [0.67, 0.61, 0.84, 0.88]]"
af3,classI,with_msa_no_template,7su9_pmhc_tcr,4,0.7752517155324061,False,0.75,0.81,4,0.91,0.02,,0.83,0.87,0.92,,,0.59,0.69,0.52,0.61,,,0.81,0.6024999999999999,"[[0.91, 0.92, 0.59, 0.69], [0.92, 0.02, 0.52, 0.61], [0.59, 0.52, 0.83, 0.81], [0.69, 0.61, 0.81, 0.87]]"
af3,classI,with_msa_no_template,7su9_pmhc_tcr,3,0.7698185951642077,False,0.75,0.8,4,0.91,0.03,,0.85,0.88,0.92,,,0.6,0.62,0.55,0.57,,,0.84,0.585,"[[0.91, 0.92, 0.6, 0.62], [0.92, 0.03, 0.55, 0.57], [0.6, 0.55, 0.85, 0.84], [0.62, 0.57, 0.84, 0.88]]"
af3,classI,with_msa_no_template,8cx4_pmhc_tcr,4,0.8322189612775855,True,0.82,0.85,4,0.93,0.03,,0.87,0.89,0.93,,,0.74,0.7,0.74,0.69,,,0.85,0.7174999999999999,"[[0.93, 0.93, 0.74, 0.7], [0.93, 0.03, 0.74, 0.69], [0.74, 0.74, 0.87, 0.85], [0.7, 0.69, 0.85, 0.89]]"
af3,classI,with_msa_no_template,8cx4_pmhc_tcr,1,0.7914784038301483,False,0.77,0.81,4,0.92,0.03,,0.86,0.89,0.93,,,0.67,0.63,0.67,0.65,,,0.84,0.655,"[[0.92, 0.93, 0.67, 0.63], [0.93, 0.03, 0.67, 0.65], [0.67, 0.67, 0.86, 0.84], [0.63, 0.65, 0.84, 0.89]]"
af3,classI,with_msa_no_template,8cx4_pmhc_tcr,3,0.7716645158027378,False,0.75,0.79,4,0.92,0.03,,0.86,0.89,0.93,,,0.63,0.59,0.64,0.59,,,0.84,0.6124999999999999,"[[0.92, 0.93, 0.63, 0.59], [0.93, 0.03, 0.64, 0.59], [0.63, 0.64, 0.86, 0.84], [0.59, 0.59, 0.84, 0.89]]"
af3,classI,with_msa_no_template,8cx4_pmhc_tcr,0,0.7624658798069176,False,0.74,0.78,4,0.92,0.03,,0.87,0.89,0.92,,,0.61,0.58,0.62,0.58,,,0.84,0.5975,"[[0.92, 0.92, 0.61, 0.58], [0.92, 0.03, 0.62, 0.58], [0.61, 0.62, 0.87, 0.84], [0.58, 0.58, 0.84, 0.89]]"
af3,classI,with_msa_no_template,8cx4_pmhc_tcr,2,0.730293509945335,False,0.71,0.75,4,0.92,0.03,,0.86,0.88,0.93,,,0.57,0.5,0.53,0.44,,,0.79,0.51,"[[0.92, 0.93, 0.57, 0.5], [0.93, 0.03, 0.53, 0.44], [0.57, 0.53, 0.86, 0.79], [0.5, 0.44, 0.79, 0.88]]"
af3,classI,with_msa_no_template,8d5q_pmhc_tcr,1,0.8947434161043344,True,0.88,0.9,4,0.9,0.03,,0.9,0.9,0.92,,,0.83,0.8,0.79,0.79,,,0.89,0.8025,"[[0.9, 0.92, 0.83, 0.8], [0.92, 0.03, 0.79, 0.79], [0.83, 0.79, 0.9, 0.89], [0.8, 0.79, 0.89, 0.9]]"
af3,classI,with_msa_no_template,8d5q_pmhc_tcr,2,0.8903020094299962,False,0.87,0.9,4,0.9,0.03,,0.89,0.9,0.92,,,0.83,0.8,0.78,0.79,,,0.89,0.8,"[[0.9, 0.92, 0.83, 0.8], [0.92, 0.03, 0.78, 0.79], [0.83, 0.78, 0.89, 0.89], [0.8, 0.79, 0.89, 0.9]]"
af3,classI,with_msa_no_template,8d5q_pmhc_tcr,4,0.8886183389685415,False,0.87,0.9,4,0.9,0.03,,0.89,0.89,0.92,,,0.83,0.79,0.78,0.78,,,0.89,0.7950000000000002,"[[0.9, 0.92, 0.83, 0.79], [0.92, 0.03, 0.78, 0.78], [0.83, 0.78, 0.89, 0.89], [0.79, 0.78, 0.89, 0.89]]"
af3,classI,with_msa_no_template,8d5q_pmhc_tcr,0,0.8865816091349605,False,0.87,0.89,4,0.9,0.03,,0.89,0.9,0.92,,,0.82,0.79,0.78,0.78,,,0.89,0.7925,"[[0.9, 0.92, 0.82, 0.79], [0.92, 0.03, 0.78, 0.78], [0.82, 0.78, 0.89, 0.89], [0.79, 0.78, 0.89, 0.9]]"
af3,classI,with_msa_no_template,8d5q_pmhc_tcr,3,0.8747344650955614,False,0.86,0.89,4,0.9,0.03,,0.89,0.9,0.92,,,0.8,0.77,0.76,0.76,,,0.89,0.7725,"[[0.9, 0.92, 0.8, 0.77], [0.92, 0.03, 0.76, 0.76], [0.8, 0.76, 0.89, 0.89], [0.77, 0.76, 0.89, 0.9]]"
af3,classI,with_msa_no_template,8dnt_pmhc_tcr,0,0.8976014268466055,True,0.88,0.91,4,0.92,0.03,,0.88,0.89,0.93,,,0.86,0.81,0.81,0.79,,,0.86,0.8175,"[[0.92, 0.93, 0.86, 0.81], [0.93, 0.03, 0.81, 0.79], [0.86, 0.81, 0.88, 0.86], [0.81, 0.79, 0.86, 0.89]]"
af3,classI,with_msa_no_template,8dnt_pmhc_tcr,4,0.895540688547174,False,0.88,0.9,4,0.92,0.03,,0.88,0.89,0.94,,,0.84,0.81,0.81,0.8,,,0.86,0.815,"[[0.92, 0.94, 0.84, 0.81], [0.94, 0.03, 0.81, 0.8], [0.84, 0.81, 0.88, 0.86], [0.81, 0.8, 0.86, 0.89]]"
af3,classI,with_msa_no_template,8dnt_pmhc_tcr,1,0.893632687016112,False,0.88,0.9,4,0.91,0.03,,0.88,0.88,0.93,,,0.85,0.79,0.81,0.78,,,0.85,0.8075000000000001,"[[0.91, 0.93, 0.85, 0.79], [0.93, 0.03, 0.81, 0.78], [0.85, 0.81, 0.88, 0.85], [0.79, 0.78, 0.85, 0.88]]"
af3,classI,with_msa_no_template,8dnt_pmhc_tcr,2,0.8932490907813154,False,0.88,0.9,4,0.92,0.03,,0.89,0.89,0.93,,,0.85,0.79,0.82,0.78,,,0.86,0.81,"[[0.92, 0.93, 0.85, 0.79], [0.93, 0.03, 0.82, 0.78], [0.85, 0.82, 0.89, 0.86], [0.79, 0.78, 0.86, 0.89]]"
af3,classI,with_msa_no_template,8dnt_pmhc_tcr,3,0.8907309542776822,False,0.88,0.9,4,0.92,0.03,,0.89,0.9,0.93,,,0.83,0.8,0.81,0.8,,,0.87,0.81,"[[0.92, 0.93, 0.83, 0.8], [0.93, 0.03, 0.81, 0.8], [0.83, 0.81, 0.89, 0.87], [0.8, 0.8, 0.87, 0.9]]"
af3,classI,with_msa_no_template,8en8_pmhc_tcr,0,0.8731430652384616,True,0.86,0.89,4,0.92,0.03,,0.88,0.87,0.94,,,0.86,0.75,0.79,0.68,,,0.83,0.77,"[[0.92, 0.94, 0.86, 0.75], [0.94, 0.03, 0.79, 0.68], [0.86, 0.79, 0.88, 0.83], [0.75, 0.68, 0.83, 0.87]]"
af3,classI,with_msa_no_template,8en8_pmhc_tcr,3,0.8710801524174365,False,0.85,0.89,4,0.92,0.03,,0.88,0.87,0.93,,,0.85,0.74,0.79,0.68,,,0.84,0.765,"[[0.92, 0.93, 0.85, 0.74], [0.93, 0.03, 0.79, 0.68], [0.85, 0.79, 0.88, 0.84], [0.74, 0.68, 0.84, 0.87]]"
af3,classI,with_msa_no_template,8en8_pmhc_tcr,1,0.8654689165635532,False,0.85,0.88,4,0.92,0.03,,0.88,0.86,0.94,,,0.85,0.73,0.78,0.65,,,0.83,0.7525000000000001,"[[0.92, 0.94, 0.85, 0.73], [0.94, 0.03, 0.78, 0.65], [0.85, 0.78, 0.88, 0.83], [0.73, 0.65, 0.83, 0.86]]"
af3,classI,with_msa_no_template,8en8_pmhc_tcr,2,0.864922367989781,False,0.85,0.88,4,0.92,0.03,,0.89,0.87,0.94,,,0.84,0.72,0.78,0.66,,,0.84,0.75,"[[0.92, 0.94, 0.84, 0.72], [0.94, 0.03, 0.78, 0.66], [0.84, 0.78, 0.89, 0.84], [0.72, 0.66, 0.84, 0.87]]"
af3,classI,with_msa_no_template,8en8_pmhc_tcr,4,0.8625800024354553,False,0.84,0.88,4,0.92,0.03,,0.88,0.86,0.94,,,0.85,0.72,0.78,0.63,,,0.83,0.7449999999999999,"[[0.92, 0.94, 0.85, 0.72], [0.94, 0.03, 0.78, 0.63], [0.85, 0.78, 0.88, 0.83], [0.72, 0.63, 0.83, 0.86]]"
af3,classI,with_msa_no_template,8enh_pmhc_tcr,0,0.9181637821627566,True,0.9,0.92,4,0.92,0.03,,0.88,0.9,0.95,,,0.88,0.87,0.83,0.86,,,0.87,0.86,"[[0.92, 0.95, 0.88, 0.87], [0.95, 0.03, 0.83, 0.86], [0.88, 0.83, 0.88, 0.87], [0.87, 0.86, 0.87, 0.9]]"
af3,classI,with_msa_no_template,8enh_pmhc_tcr,2,0.9172788385751182,False,0.9,0.92,4,0.92,0.03,,0.87,0.89,0.95,,,0.88,0.87,0.83,0.86,,,0.87,0.86,"[[0.92, 0.95, 0.88, 0.87], [0.95, 0.03, 0.83, 0.86], [0.88, 0.83, 0.87, 0.87], [0.87, 0.86, 0.87, 0.89]]"
