pdb	model	condition	rank	status	dock_pred	dock_native	dock_err	inc_pred	inc_native	inc_err
7rk7	af3	msa+tmpl	ranked_0	OK	95.77	80.75	15.02	171.70	16.46	155.24
7rm4	af3	msa+tmpl	ranked_0	OK	30.02	35.33	5.31	158.93	18.89	140.04
7rrg	af3	msa+tmpl	ranked_0	OK	118.22	73.79	44.43	12.96	12.05	0.91
7rtr	af3	msa+tmpl	ranked_0	OK	35.23	42.24	7.02	13.23	3.53	9.71
7su9	af3	msa+tmpl	ranked_0	OK	19.84	13.42	6.41	5.15	9.17	4.02
8cx4	af3	msa+tmpl	ranked_0	OK	10.43	20.06	9.63	8.42	8.65	0.22
8d5q	af3	msa+tmpl	ranked_0	OK	32.82	31.15	1.66	9.78	9.43	0.35
8dnt	af3	msa+tmpl	ranked_0	OK	40.11	31.40	8.71	6.66	3.64	3.02
8en8	af3	msa+tmpl	ranked_0	OK	28.28	41.37	13.08	14.77	21.57	6.80
8enh	af3	msa+tmpl	ranked_0	OK	36.15	37.82	1.67	15.97	19.96	3.99
8eo8	af3	msa+tmpl	ranked_0	OK	27.51	38.49	10.98	17.43	21.40	3.97
8f5a	af3	msa+tmpl	ranked_0	OK	60.95	49.88	11.08	1.34	6.53	5.19
8gom	af3	msa+tmpl	ranked_0	OK	49.85	39.06	10.79	13.65	15.79	2.14
8gon	af3	msa+tmpl	ranked_0	OK	7.93	38.47	30.55	52.20	13.44	38.76
8gvb	af3	msa+tmpl	ranked_0	OK	52.82	54.52	1.69	18.17	19.12	0.95
8gvg	af3	msa+tmpl	ranked_0	OK	57.50	55.07	2.43	16.59	20.08	3.50
8gvi	af3	msa+tmpl	ranked_0	OK	56.61	55.10	1.51	17.17	20.62	3.45
8i5c	af3	msa+tmpl	ranked_0	OK	45.33	47.69	2.36	7.11	7.33	0.21
8i5d	af3	msa+tmpl	ranked_0	OK	51.22	44.46	6.77	10.58	11.72	1.13
8qfy	af3	msa+tmpl	ranked_0	OK	77.35	78.46	1.11	14.86	18.22	3.36
8shi	af3	msa+tmpl	ranked_0	OK	33.02	20.26	12.76	6.08	18.76	12.68
8wte	af3	msa+tmpl	ranked_0	OK	57.15	64.06	6.91	3.08	4.45	1.38
8wul	af3	msa+tmpl	ranked_0	OK	56.46	64.44	7.97	8.62	2.45	6.16
6zkw	af3	msa+tmpl	ranked_1	OK	32.85	57.14	24.30	27.32	18.99	8.33
6zkx	af3	msa+tmpl	ranked_1	OK	96.77	54.69	42.09	43.04	13.69	29.36
6zky	af3	msa+tmpl	ranked_1	OK	54.16	56.78	2.62	13.89	18.99	5.10
6zkz	af3	msa+tmpl	ranked_1	OK	34.70	56.52	21.82	9.44	18.02	8.58
7dzm	af3	msa+tmpl	ranked_1	OK	49.80	45.42	4.38	11.44	10.35	1.09
7dzn	af3	msa+tmpl	ranked_1	OK	40.47	44.85	4.38	27.61	10.90	16.71
7l1d	af3	msa+tmpl	ranked_1	OK	40.41	47.41	7.00	1.67	3.49	1.82
7n2n	af3	msa+tmpl	ranked_1	OK	3.51	20.52	17.01	19.65	5.13	14.52
7n2o	af3	msa+tmpl	ranked_1	OK	22.21	20.11	2.10	3.82	12.74	8.92
7n2p	af3	msa+tmpl	ranked_1	OK	39.87	21.92	17.95	17.97	9.18	8.80
7n2q	af3	msa+tmpl	ranked_1	OK	42.74	21.13	21.60	13.35	9.24	4.12
7n2r	af3	msa+tmpl	ranked_1	OK	86.37	21.24	65.13	160.35	8.70	151.66
7n2s	af3	msa+tmpl	ranked_1	OK	30.06	21.39	8.67	5.19	5.07	0.11
7n4k	af3	msa+tmpl	ranked_1	OK	49.74	41.23	8.50	19.04	16.00	3.04
7n5c	af3	msa+tmpl	ranked_1	OK	35.85	43.40	7.55	10.32	18.17	7.85
7n5p	af3	msa+tmpl	ranked_1	OK	46.75	41.20	5.56	17.86	16.18	1.68
7na5	af3	msa+tmpl	ranked_1	OK	29.73	58.96	29.23	30.62	14.97	15.64
7ndq	af3	msa+tmpl	ranked_1	OK	89.36	76.89	12.47	25.79	19.03	6.76
7ndt	af3	msa+tmpl	ranked_1	OK	40.71	33.86	6.85	6.20	7.29	1.09
7ndu	af3	msa+tmpl	ranked_1	OK	77.15	76.62	0.54	22.32	20.08	2.25
7nme	af3	msa+tmpl	ranked_1	OK	35.34	35.91	0.57	9.55	8.79	0.76
7nmf	af3	msa+tmpl	ranked_1	OK	34.88	35.95	1.07	9.81	8.90	0.91
7nmg	af3	msa+tmpl	ranked_1	OK	36.65	34.94	1.70	10.45	7.72	2.74
7ow5	af3	msa+tmpl	ranked_1	OK	44.56	46.04	1.48	6.35	8.56	2.21
7ow6	af3	msa+tmpl	ranked_1	OK	50.26	48.16	2.10	4.35	8.38	4.03
7pb2	af3	msa+tmpl	ranked_1	OK	71.14	41.61	29.53	17.39	9.07	8.33
7pbe	af3	msa+tmpl	ranked_1	OK	50.15	51.66	1.51	2.94	2.25	0.69
7phr	af3	msa+tmpl	ranked_1	OK	36.20	42.98	6.77	7.30	5.35	1.95
7q99	af3	msa+tmpl	ranked_1	OK	40.85	45.58	4.73	10.30	7.05	3.25
7q9a	af3	msa+tmpl	ranked_1	OK	43.67	47.58	3.91	6.74	9.68	2.93
7q9b	af3	msa+tmpl	ranked_1	OK	25.28	46.49	21.21	17.13	8.38	8.76
7qpj	af3	msa+tmpl	ranked_1	OK	30.99	31.58	0.59	10.37	10.81	0.44
7r80	af3	msa+tmpl	ranked_1	OK	151.81	17.50	134.31	7.24	11.89	4.65
7rk7	af3	msa+tmpl	ranked_1	OK	93.17	80.75	12.42	172.77	16.46	156.31
7rm4	af3	msa+tmpl	ranked_1	OK	27.61	35.33	7.71	160.53	18.89	141.65
7rrg	af3	msa+tmpl	ranked_1	OK	43.92	73.79	29.87	14.40	12.05	2.36
7rtr	af3	msa+tmpl	ranked_1	OK	33.92	42.24	8.32	11.11	3.53	7.59
7su9	af3	msa+tmpl	ranked_1	OK	20.81	13.42	7.39	2.80	9.17	6.37
8cx4	af3	msa+tmpl	ranked_1	OK	15.77	20.06	4.29	2.22	8.65	6.43
8d5q	af3	msa+tmpl	ranked_1	OK	34.63	31.15	3.48	12.61	9.43	3.18
8dnt	af3	msa+tmpl	ranked_1	OK	42.58	31.40	11.17	10.40	3.64	6.76
8en8	af3	msa+tmpl	ranked_1	OK	32.22	41.37	9.15	16.20	21.57	5.36
8enh	af3	msa+tmpl	ranked_1	OK	36.82	37.82	0.99	19.65	19.96	0.31
8eo8	af3	msa+tmpl	ranked_1	OK	34.06	38.49	4.43	15.53	21.40	5.87
8f5a	af3	msa+tmpl	ranked_1	OK	67.09	49.88	17.22	6.35	6.53	0.18
8gom	af3	msa+tmpl	ranked_1	OK	48.80	39.06	9.74	11.68	15.79	4.11
8gon	af3	msa+tmpl	ranked_1	OK	141.97	38.47	103.49	37.87	13.44	24.44
8gvb	af3	msa+tmpl	ranked_1	OK	54.56	54.52	0.04	14.97	19.12	4.15
8gvg	af3	msa+tmpl	ranked_1	OK	57.71	55.07	2.64	17.90	20.08	2.18
8gvi	af3	msa+tmpl	ranked_1	OK	57.33	55.10	2.22	19.15	20.62	1.47
8i5c	af3	msa+tmpl	ranked_1	OK	47.12	47.69	0.57	7.17	7.33	0.16
8i5d	af3	msa+tmpl	ranked_1	OK	52.64	44.46	8.19	11.15	11.72	0.57
8qfy	af3	msa+tmpl	ranked_1	OK	78.30	78.46	0.16	15.48	18.22	2.74
8shi	af3	msa+tmpl	ranked_1	OK	36.43	20.26	16.17	7.40	18.76	11.36
8wte	af3	msa+tmpl	ranked_1	OK	59.09	64.06	4.97	6.14	4.45	1.69
8wul	af3	msa+tmpl	ranked_1	OK	58.30	64.44	6.14	8.31	2.45	5.86
6zkw	af3	msa+tmpl	ranked_2	OK	36.61	57.14	20.53	24.08	18.99	5.08
6zkx	af3	msa+tmpl	ranked_2	OK	89.73	54.69	35.04	12.57	13.69	1.12
6zky	af3	msa+tmpl	ranked_2	OK	57.21	56.78	0.43	15.23	18.99	3.76
6zkz	af3	msa+tmpl	ranked_2	OK	40.57	56.52	15.95	9.56	18.02	8.46
7dzm	af3	msa+tmpl	ranked_2	OK	49.76	45.42	4.33	12.36	10.35	2.01
7dzn	af3	msa+tmpl	ranked_2	OK	37.06	44.85	7.79	27.78	10.90	16.88
7l1d	af3	msa+tmpl	ranked_2	OK	36.65	47.41	10.76	2.78	3.49	0.71
7n2n	af3	msa+tmpl	ranked_2	OK	5.48	20.52	15.04	20.62	5.13	15.49
7n2o	af3	msa+tmpl	ranked_2	OK	18.64	20.11	1.48	6.18	12.74	6.56
7n2p	af3	msa+tmpl	ranked_2	OK	30.82	21.92	8.90	5.59	9.18	3.58
7n2q	af3	msa+tmpl	ranked_2	OK	9.83	21.13	11.30	7.69	9.24	1.55
7n2r	af3	msa+tmpl	ranked_2	OK	86.66	21.24	65.42	167.09	8.70	158.39
7n2s	af3	msa+tmpl	ranked_2	OK	51.41	21.39	30.01	21.92	5.07	16.85
7n4k	af3	msa+tmpl	ranked_2	OK	48.94	41.23	7.71	18.45	16.00	2.44
7n5c	af3	msa+tmpl	ranked_2	OK	41.47	43.40	1.93	8.07	18.17	10.10
7n5p	af3	msa+tmpl	ranked_2	OK	48.09	41.20	6.89	16.38	16.18	0.20
7na5	af3	msa+tmpl	ranked_2	OK	28.54	58.96	30.42	32.27	14.97	17.30
7ndq	af3	msa+tmpl	ranked_2	OK	87.32	76.89	10.42	29.91	19.03	10.88
7ndt	af3	msa+tmpl	ranked_2	OK	41.22	33.86	7.36	5.25	7.29	2.03
7ndu	af3	msa+tmpl	ranked_2	OK	76.33	76.62	0.28	21.52	20.08	1.45
7nme	af3	msa+tmpl	ranked_2	OK	36.23	35.91	0.32	10.77	8.79	1.98
7nmf	af3	msa+tmpl	ranked_2	OK	36.79	35.95	0.84	11.34	8.90	2.44
7nmg	af3	msa+tmpl	ranked_2	OK	34.58	34.94	0.36	7.88	7.72	0.17
7ow5	af3	msa+tmpl	ranked_2	OK	45.21	46.04	0.83	7.42	8.56	1.14
7ow6	af3	msa+tmpl	ranked_2	OK	47.41	48.16	0.74	5.17	8.38	3.21
7pb2	af3	msa+tmpl	ranked_2	OK	104.89	41.61	63.28	163.04	9.07	153.97
7pbe	af3	msa+tmpl	ranked_2	OK	49.07	51.66	2.59	2.94	2.25	0.69
7phr	af3	msa+tmpl	ranked_2	OK	36.48	42.98	6.49	6.39	5.35	1.03
7q99	af3	msa+tmpl	ranked_2	OK	40.01	45.58	5.57	3.53	7.05	3.52
7q9a	af3	msa+tmpl	ranked_2	OK	46.09	47.58	1.49	5.66	9.68	4.02
7q9b	af3	msa+tmpl	ranked_2	OK	24.64	46.49	21.85	13.12	8.38	4.74
7qpj	af3	msa+tmpl	ranked_2	OK	31.13	31.58	0.45	8.99	10.81	1.82
7r80	af3	msa+tmpl	ranked_2	OK	149.82	17.50	132.32	8.53	11.89	3.36
7rk7	af3	msa+tmpl	ranked_2	OK	88.66	80.75	7.91	165.29	16.46	148.82
7rm4	af3	msa+tmpl	ranked_2	OK	29.11	35.33	6.21	160.70	18.89	141.82
7rrg	af3	msa+tmpl	ranked_2	OK	29.37	73.79	44.42	20.84	12.05	8.80
7rtr	af3	msa+tmpl	ranked_2	OK	42.65	42.24	0.41	7.58	3.53	4.05
7su9	af3	msa+tmpl	ranked_2	OK	25.43	13.42	12.00	1.75	9.17	7.43
8cx4	af3	msa+tmpl	ranked_2	OK	28.04	20.06	7.98	1.51	8.65	7.14
8d5q	af3	msa+tmpl	ranked_2	OK	34.17	31.15	3.02	7.78	9.43	1.65
8dnt	af3	msa+tmpl	ranked_2	OK	39.78	31.40	8.38	8.17	3.64	4.52
8en8	af3	msa+tmpl	ranked_2	OK	28.54	41.37	12.82	16.62	21.57	4.94
8enh	af3	msa+tmpl	ranked_2	OK	37.65	37.82	0.17	18.52	19.96	1.44
8eo8	af3	msa+tmpl	ranked_2	OK	35.25	38.49	3.24	23.10	21.40	1.70
8f5a	af3	msa+tmpl	ranked_2	OK	61.11	49.88	11.23	2.92	6.53	3.61
8gom	af3	msa+tmpl	ranked_2	OK	118.23	39.06	79.16	173.37	15.79	157.58
8gon	af3	msa+tmpl	ranked_2	OK	86.17	38.47	47.70	102.97	13.44	89.54
8gvb	af3	msa+tmpl	ranked_2	OK	53.79	54.52	0.72	15.19	19.12	3.93
8gvg	af3	msa+tmpl	ranked_2	OK	56.78	55.07	1.71	16.49	20.08	3.59
8gvi	af3	msa+tmpl	ranked_2	OK	57.03	55.10	1.93	18.66	20.62	1.96
8i5c	af3	msa+tmpl	ranked_2	OK	49.19	47.69	1.51	9.99	7.33	2.66
8i5d	af3	msa+tmpl	ranked_2	OK	56.58	44.46	12.13	14.91	11.72	3.19
8qfy	af3	msa+tmpl	ranked_2	OK	81.29	78.46	2.83	17.82	18.22	0.40
8shi	af3	msa+tmpl	ranked_2	OK	38.94	20.26	18.68	8.45	18.76	10.30
8wte	af3	msa+tmpl	ranked_2	OK	55.80	64.06	8.26	9.29	4.45	4.84
8wul	af3	msa+tmpl	ranked_2	OK	61.57	64.44	2.87	5.34	2.45	2.89
6zkw	af3	msa+tmpl	ranked_3	OK	35.97	57.14	21.17	24.35	18.99	5.36
6zkx	af3	msa+tmpl	ranked_3	OK	57.54	54.69	2.86	11.12	13.69	2.56
6zky	af3	msa+tmpl	ranked_3	OK	52.96	56.78	3.82	15.94	18.99	3.05
6zkz	af3	msa+tmpl	ranked_3	OK	41.20	56.52	15.31	8.61	18.02	9.42
7dzm	af3	msa+tmpl	ranked_3	OK	49.66	45.42	4.24	12.41	10.35	2.06
7dzn	af3	msa+tmpl	ranked_3	OK	40.56	44.85	4.30	27.18	10.90	16.28
7l1d	af3	msa+tmpl	ranked_3	OK	41.87	47.41	5.54	2.96	3.49	0.53
7n2n	af3	msa+tmpl	ranked_3	OK	5.10	20.52	15.42	17.76	5.13	12.62
7n2o	af3	msa+tmpl	ranked_3	OK	17.52	20.11	2.59	5.61	12.74	7.14
7n2p	af3	msa+tmpl	ranked_3	OK	22.11	21.92	0.19	8.12	9.18	1.05
7n2q	af3	msa+tmpl	ranked_3	OK	19.82	21.13	1.31	9.35	9.24	0.11
7n2r	af3	msa+tmpl	ranked_3	OK	83.97	21.24	62.74	166.21	8.70	157.51
7n2s	af3	msa+tmpl	ranked_3	OK	43.66	21.39	22.27	19.78	5.07	14.71
7n4k	af3	msa+tmpl	ranked_3	OK	44.94	41.23	3.71	19.16	16.00	3.15
7n5c	af3	msa+tmpl	ranked_3	OK	45.39	43.40	1.99	13.52	18.17	4.65
7n5p	af3	msa+tmpl	ranked_3	OK	43.60	41.20	2.41	16.58	16.18	0.40
7na5	af3	msa+tmpl	ranked_3	OK	26.43	58.96	32.54	27.91	14.97	12.94
7ndq	af3	msa+tmpl	ranked_3	OK	89.12	76.89	12.23	25.84	19.03	6.81
7ndt	af3	msa+tmpl	ranked_3	OK	42.77	33.86	8.91	7.73	7.29	0.44
7ndu	af3	msa+tmpl	ranked_3	OK	76.54	76.62	0.08	23.63	20.08	3.56
7nme	af3	msa+tmpl	ranked_3	OK	36.82	35.91	0.91	11.32	8.79	2.53
7nmf	af3	msa+tmpl	ranked_3	OK	36.20	35.95	0.24	10.78	8.90	1.88
7nmg	af3	msa+tmpl	ranked_3	OK	35.76	34.94	0.82	9.93	7.72	2.21
7ow5	af3	msa+tmpl	ranked_3	OK	46.29	46.04	0.25	6.20	8.56	2.36
7ow6	af3	msa+tmpl	ranked_3	OK	50.99	48.16	2.83	4.36	8.38	4.02
7pb2	af3	msa+tmpl	ranked_3	OK	6.94	41.61	34.67	156.91	9.07	147.85
7pbe	af3	msa+tmpl	ranked_3	OK	49.56	51.66	2.10	2.37	2.25	0.12
7phr	af3	msa+tmpl	ranked_3	OK	38.14	42.98	4.84	7.82	5.35	2.46
7q99	af3	msa+tmpl	ranked_3	OK	48.49	45.58	2.91	0.97	7.05	6.08
7q9a	af3	msa+tmpl	ranked_3	OK	48.53	47.58	0.95	7.23	9.68	2.45
7q9b	af3	msa+tmpl	ranked_3	OK	23.74	46.49	22.75	13.95	8.38	5.57
7qpj	af3	msa+tmpl	ranked_3	OK	30.62	31.58	0.96	10.26	10.81	0.55
7r80	af3	msa+tmpl	ranked_3	OK	17.29	17.50	0.22	7.38	11.89	4.51
7rk7	af3	msa+tmpl	ranked_3	OK	92.07	80.75	11.32	176.98	16.46	160.52
7rm4	af3	msa+tmpl	ranked_3	OK	14.89	35.33	20.44	166.68	18.89	147.79
7rrg	af3	msa+tmpl	ranked_3	OK	131.97	73.79	58.18	15.19	12.05	3.15
7rtr	af3	msa+tmpl	ranked_3	OK	37.81	42.24	4.43	14.33	3.53	10.80
7su9	af3	msa+tmpl	ranked_3	OK	25.84	13.42	12.42	2.32	9.17	6.85
8cx4	af3	msa+tmpl	ranked_3	OK	13.03	20.06	7.03	1.26	8.65	7.38
8d5q	af3	msa+tmpl	ranked_3	OK	35.40	31.15	4.25	9.49	9.43	0.06
8dnt	af3	msa+tmpl	ranked_3	OK	41.75	31.40	10.35	9.28	3.64	5.64
8en8	af3	msa+tmpl	ranked_3	OK	30.17	41.37	11.19	11.00	21.57	10.56
8enh	af3	msa+tmpl	ranked_3	OK	38.10	37.82	0.28	21.45	19.96	1.49
8eo8	af3	msa+tmpl	ranked_3	OK	34.04	38.49	4.45	24.57	21.40	3.17
8f5a	af3	msa+tmpl	ranked_3	OK	65.09	49.88	15.22	8.90	6.53	2.37
8gom	af3	msa+tmpl	ranked_3	OK	115.44	39.06	76.38	172.96	15.79	157.17
8gon	af3	msa+tmpl	ranked_3	OK	93.92	38.47	55.45	88.85	13.44	75.41
8gvb	af3	msa+tmpl	ranked_3	OK	51.25	54.52	3.27	16.05	19.12	3.07
8gvg	af3	msa+tmpl	ranked_3	OK	54.39	55.07	0.68	15.88	20.08	4.20
8gvi	af3	msa+tmpl	ranked_3	OK	56.93	55.10	1.83	18.55	20.62	2.08
8i5c	af3	msa+tmpl	ranked_3	OK	49.52	47.69	1.83	8.10	7.33	0.77
8i5d	af3	msa+tmpl	ranked_3	OK	49.28	44.46	4.82	12.22	11.72	0.50
8qfy	af3	msa+tmpl	ranked_3	OK	80.30	78.46	1.84	16.61	18.22	1.61
8shi	af3	msa+tmpl	ranked_3	OK	35.34	20.26	15.07	17.00	18.76	1.76
8wte	af3	msa+tmpl	ranked_3	OK	51.82	64.06	12.24	4.16	4.45	0.29
8wul	af3	msa+tmpl	ranked_3	OK	54.56	64.44	9.88	6.16	2.45	3.71
6zkw	af3	msa+tmpl	ranked_4	OK	33.15	57.14	24.00	26.38	18.99	7.38
6zkx	af3	msa+tmpl	ranked_4	OK	167.95	54.69	113.27	27.16	13.69	13.48
6zky	af3	msa+tmpl	ranked_4	OK	32.96	56.78	23.82	22.37	18.99	3.38
6zkz	af3	msa+tmpl	ranked_4	OK	35.10	56.52	21.41	10.18	18.02	7.85
7dzm	af3	msa+tmpl	ranked_4	OK	48.26	45.42	2.84	12.26	10.35	1.91
7dzn	af3	msa+tmpl	ranked_4	OK	38.51	44.85	6.34	27.96	10.90	17.05
7l1d	af3	msa+tmpl	ranked_4	OK	44.02	47.41	3.39	1.78	3.49	1.71
7n2n	af3	msa+tmpl	ranked_4	OK	4.63	20.52	15.89	18.44	5.13	13.30
7n2o	af3	msa+tmpl	ranked_4	OK	16.96	20.11	3.15	4.35	12.74	8.39
7n2p	af3	msa+tmpl	ranked_4	OK	37.16	21.92	15.23	15.76	9.18	6.58
7n2q	af3	msa+tmpl	ranked_4	OK	20.02	21.13	1.12	14.52	9.24	5.28
7n2r	af3	msa+tmpl	ranked_4	OK	88.89	21.24	67.65	167.53	8.70	158.83
7n2s	af3	msa+tmpl	ranked_4	OK	52.73	21.39	31.33	20.97	5.07	15.90
7n4k	af3	msa+tmpl	ranked_4	OK	45.31	41.23	4.07	14.70	16.00	1.30
7n5c	af3	msa+tmpl	ranked_4	OK	41.22	43.40	2.17	12.56	18.17	5.61
7n5p	af3	msa+tmpl	ranked_4	OK	45.46	41.20	4.26	15.30	16.18	0.88
7na5	af3	msa+tmpl	ranked_4	OK	32.04	58.96	26.92	30.25	14.97	15.28
7ndq	af3	msa+tmpl	ranked_4	OK	104.07	76.89	27.18	28.82	19.03	9.79
7ndt	af3	msa+tmpl	ranked_4	OK	39.78	33.86	5.93	7.40	7.29	0.11
7ndu	af3	msa+tmpl	ranked_4	OK	81.83	76.62	5.22	25.45	20.08	5.38
7nme	af3	msa+tmpl	ranked_4	OK	34.81	35.91	1.10	9.99	8.79	1.20
7nmf	af3	msa+tmpl	ranked_4	OK	34.79	35.95	1.16	9.73	8.90	0.83
7nmg	af3	msa+tmpl	ranked_4	OK	34.07	34.94	0.87	8.42	7.72	0.70
7ow5	af3	msa+tmpl	ranked_4	OK	48.29	46.04	2.25	5.71	8.56	2.85
7ow6	af3	msa+tmpl	ranked_4	OK	51.43	48.16	3.27	6.48	8.38	1.90
7pb2	af3	msa+tmpl	ranked_4	OK	68.98	41.61	27.37	61.16	9.07	52.10
7pbe	af3	msa+tmpl	ranked_4	OK	52.06	51.66	0.41	1.74	2.25	0.51
7phr	af3	msa+tmpl	ranked_4	OK	38.24	42.98	4.74	7.37	5.35	2.02
7q99	af3	msa+tmpl	ranked_4	OK	45.89	45.58	0.31	4.01	7.05	3.05
7q9a	af3	msa+tmpl	ranked_4	OK	50.94	47.58	3.37	6.76	9.68	2.92
7q9b	af3	msa+tmpl	ranked_4	OK	21.79	46.49	24.70	10.57	8.38	2.19
7qpj	af3	msa+tmpl	ranked_4	OK	31.33	31.58	0.25	10.42	10.81	0.39
7r80	af3	msa+tmpl	ranked_4	OK	23.23	17.50	5.73	16.33	11.89	4.44
7rk7	af3	msa+tmpl	ranked_4	OK	74.06	80.75	6.69	177.85	16.46	161.38
7rm4	af3	msa+tmpl	ranked_4	OK	20.38	35.33	14.95	163.50	18.89	144.62
7rrg	af3	msa+tmpl	ranked_4	OK	47.56	73.79	26.23	17.70	12.05	5.65
7rtr	af3	msa+tmpl	ranked_4	OK	43.48	42.24	1.23	13.38	3.53	9.86
7su9	af3	msa+tmpl	ranked_4	OK	31.59	13.42	18.16	8.33	9.17	0.85
8cx4	af3	msa+tmpl	ranked_4	OK	22.87	20.06	2.81	2.43	8.65	6.22
8d5q	af3	msa+tmpl	ranked_4	OK	37.47	31.15	6.32	11.66	9.43	2.23
8dnt	af3	msa+tmpl	ranked_4	OK	44.63	31.40	13.23	7.98	3.64	4.34
8en8	af3	msa+tmpl	ranked_4	OK	29.38	41.37	11.98	20.42	21.57	1.15
8enh	af3	msa+tmpl	ranked_4	OK	37.51	37.82	0.31	18.54	19.96	1.42
8eo8	af3	msa+tmpl	ranked_4	OK	29.15	38.49	9.34	16.34	21.40	5.06
8f5a	af3	msa+tmpl	ranked_4	OK	55.56	49.88	5.68	2.23	6.53	4.30
8gom	af3	msa+tmpl	ranked_4	OK	149.37	39.06	110.30	32.79	15.79	16.99
8gon	af3	msa+tmpl	ranked_4	OK	146.76	38.47	108.28	33.58	13.44	20.14
8gvb	af3	msa+tmpl	ranked_4	OK	52.78	54.52	1.74	15.85	19.12	3.27
8gvg	af3	msa+tmpl	ranked_4	OK	54.59	55.07	0.48	18.17	20.08	1.91
8gvi	af3	msa+tmpl	ranked_4	OK	55.20	55.10	0.10	19.47	20.62	1.16
8i5c	af3	msa+tmpl	ranked_4	OK	48.07	47.69	0.38	4.81	7.33	2.52
8i5d	af3	msa+tmpl	ranked_4	OK	65.51	44.46	21.05	15.00	11.72	3.28
8qfy	af3	msa+tmpl	ranked_4	OK	77.92	78.46	0.54	13.43	18.22	4.79
8shi	af3	msa+tmpl	ranked_4	OK	50.11	20.26	29.85	13.44	18.76	5.31
8wte	af3	msa+tmpl	ranked_4	OK	55.06	64.06	9.01	9.17	4.45	4.72
8wul	af3	msa+tmpl	ranked_4	OK	57.41	64.44	7.03	7.92	2.45	5.47
6zkw	intellifold2	msa	ranked_0	OK	37.65	57.14	19.49	21.72	18.99	2.73
6zkx	intellifold2	msa	ranked_0	OK	42.61	54.69	12.08	21.21	13.69	7.53
6zky	intellifold2	msa	ranked_0	OK	42.55	56.78	14.23	15.81	18.99	3.18
6zkz	intellifold2	msa	ranked_0	OK	43.18	56.52	13.34	17.73	18.02	0.30
7dzm	intellifold2	msa	ranked_0	OK	77.73	45.42	32.30	114.55	10.35	104.20
7dzn	intellifold2	msa	ranked_0	OK	48.21	44.85	3.36	9.77	10.90	1.13
7l1d	intellifold2	msa	ranked_0	OK	43.74	47.41	3.67	6.22	3.49	2.73
7n2n	intellifold2	msa	ranked_0	OK	129.60	20.52	109.08	156.83	5.13	151.69
7n2o	intellifold2	msa	ranked_0	OK	129.57	20.11	109.45	155.69	12.74	142.95
7n2p	intellifold2	msa	ranked_0	OK	82.33	21.92	60.41	144.50	9.18	135.32
7n2q	intellifold2	msa	ranked_0	OK	170.77	21.13	149.63	10.02	9.24	0.78
7n2r	intellifold2	msa	ranked_0	OK	168.32	21.24	147.08	17.25	8.70	8.55
7n2s	intellifold2	msa	ranked_0	OK	119.85	21.39	98.46	155.85	5.07	150.78
7n4k	intellifold2	msa	ranked_0	OK	47.94	41.23	6.71	17.63	16.00	1.63
7n5c	intellifold2	msa	ranked_0	OK	43.72	43.40	0.32	13.80	18.17	4.37
7n5p	intellifold2	msa	ranked_0	OK	45.80	41.20	4.60	17.35	16.18	1.17
7na5	intellifold2	msa	ranked_0	OK	50.66	58.96	8.30	1.09	14.97	13.88
7ndq	intellifold2	msa	ranked_0	OK	71.57	76.89	5.32	19.64	19.03	0.61
7ndt	intellifold2	msa	ranked_0	OK	136.92	33.86	103.06	21.09	7.29	13.81
7ndu	intellifold2	msa	ranked_0	OK	74.92	76.62	1.70	28.27	20.08	8.20
7nme	intellifold2	msa	ranked_0	OK	44.89	35.91	8.98	3.56	8.79	5.23
7nmf	intellifold2	msa	ranked_0	OK	44.88	35.95	8.93	3.54	8.90	5.36
7nmg	intellifold2	msa	ranked_0	OK	43.56	34.94	8.62	5.49	7.72	2.23
7ow5	intellifold2	msa	ranked_0	OK	39.12	46.04	6.91	11.11	8.56	2.55
7ow6	intellifold2	msa	ranked_0	OK	40.64	48.16	7.52	9.13	8.38	0.75
7pb2	intellifold2	msa	ranked_0	OK	120.54	41.61	78.93	12.75	9.07	3.68
7pbe	intellifold2	msa	ranked_0	OK	54.41	51.66	2.75	1.09	2.25	1.17
7phr	intellifold2	msa	ranked_0	OK	39.57	42.98	3.41	6.15	5.35	0.80
7q99	intellifold2	msa	ranked_0	OK	41.94	45.58	3.65	3.95	7.05	3.10
7q9a	intellifold2	msa	ranked_0	OK	39.26	47.58	8.31	3.84	9.68	5.83
7q9b	intellifold2	msa	ranked_0	OK	27.47	46.49	19.02	21.73	8.38	13.35
7qpj	intellifold2	msa	ranked_0	OK	32.56	31.58	0.98	11.49	10.81	0.68
7r80	intellifold2	msa	ranked_0	OK	29.78	17.50	12.27	1.95	11.89	9.94
7rk7	intellifold2	msa	ranked_0	OK	76.41	80.75	4.34	13.04	16.46	3.43
7rm4	intellifold2	msa	ranked_0	OK	52.85	35.33	17.52	18.51	18.89	0.37
7rrg	intellifold2	msa	ranked_0	OK	41.74	73.79	32.06	10.93	12.05	1.12
7rtr	intellifold2	msa	ranked_0	OK	54.08	42.24	11.84	2.52	3.53	1.00
7su9	intellifold2	msa	ranked_0	OK	16.06	13.42	2.63	16.10	9.17	6.93
8cx4	intellifold2	msa	ranked_0	OK	18.33	20.06	1.73	6.35	8.65	2.30
8d5q	intellifold2	msa	ranked_0	OK	34.56	31.15	3.40	11.60	9.43	2.17
